time,open,high,low,close,volume,volCcy
1624866780000,0.259964,0.260063,0.259607,0.259717,517868.334156,134561.631502
1624866840000,0.25973,0.26014,0.259717,0.260125,968339.161602,251646.116766
1624866900000,0.260144,0.260542,0.260087,0.260523,1359933.37398,354200.475559
1624866960000,0.260523,0.260616,0.260113,0.260113,1046047.0013,272464.119992
1624867020000,0.260147,0.260147,0.2597,0.259996,389332.006843,101174.389925
1624867080000,0.259968,0.260024,0.259782,0.259892,203656.935042,52926.452838
1624867140000,0.259968,0.260474,0.259898,0.260381,358355.055301,93264.605687
1624867200000,0.26038,0.260556,0.26,0.260532,487381.861403,126840.434224
1624867260000,0.26049,0.260594,0.259631,0.260155,439908.115226,114402.836568
1624867320000,0.260095,0.260222,0.258942,0.259233,1049904.718584,272247.174159
1624867380000,0.259261,0.259581,0.258894,0.259283,566055.904512,146679.653944
1624867440000,0.259341,0.259569,0.259197,0.259343,731699.035186,189776.43543
1624867500000,0.259298,0.259796,0.259276,0.259648,670928.939992,174127.188947
1624867560000,0.259681,0.259681,0.259405,0.2595,254624.575122,66081.261252
1624867620000,0.259501,0.260179,0.259501,0.25986,756253.578329,196573.136382
1624867680000,0.259857,0.260121,0.259729,0.259944,383997.807386,99784.78788
1624867740000,0.259894,0.259941,0.259554,0.2596,677573.006321,175979.13949
1624867800000,0.259608,0.2597,0.259346,0.259552,354227.291041,91949.492471
1624867860000,0.259548,0.259705,0.259328,0.259525,690489.349122,179202.186747
1624867920000,0.25947,0.259605,0.259373,0.259577,194670.075855,50511.21766
1624867980000,0.259605,0.259782,0.259519,0.259674,235531.416235,61161.8655
1624868040000,0.259764,0.260209,0.259764,0.259947,287294.793288,74703.131041
1624868100000,0.260037,0.260598,0.259928,0.260504,2426408.394762,631204.105269
1624868160000,0.260491,0.2613,0.260217,0.260987,954936.155305,249093.241132
1624868220000,0.260988,0.261325,0.260474,0.260498,422800.707594,110339.741858
1624868280000,0.26048,0.260983,0.260416,0.260849,121980.235309,31809.330559
1624868340000,0.260869,0.260905,0.259512,0.259846,896233.697968,233008.38128
1624868400000,0.25991,0.260286,0.259839,0.259858,251049.724468,65277.363828
